Rowid,FID,COUNT,AREA,NDVI,NAME10,Diabetes1,Diabetes
,,,,0.017698739,,9,0.09
1,0,8,7200,0.042134211,4161.02,8.95,0.0895
2,5,11,9900,0.081992983,4021.02,8.9,0.089
3,6,3,2700,0,4022,9,0.09
4,10,5,4500,0.140276158,4011,8.84,0.0884
5,11,1,900,0,4010,9,0.09
6,13,6,5400,0,4003,9,0.09
7,14,3,2700,0.004523607,4006,8.99,0.0899
8,15,10,9000,0,4002,9,0.09
9,16,15,13500,0,4001,9,0.09
10,17,407,366300,0.007800864,104.05,8.99,0.0899
11,18,149,134100,0.00031468,104.04,9,0.09
12,19,142,127800,0.000212955,108.01,9,0.09
13,20,330,297000,6.02E-06,107.02,9,0.09
14,21,279,251100,0.000331271,102.04,9,0.09
15,22,175,157500,0,108.02,9,0.09
16,23,314,282600,0.000184101,101.04,9,0.09
17,24,196,176400,0,7.03,9,0.09
18,25,364,327600,0.002918453,5.04,9,0.09
19,26,266,239400,7.05E-05,7.04,9,0.09
20,27,305,274500,0.00050453,101.03,9,0.09
21,28,1291,1161900,0.019751439,8.03,8.98,0.0898
22,29,2299,2069100,0.128186566,9803,8.85,0.0885
23,30,802,721800,0.008439278,1202.01,8.99,0.0899
24,31,318,286200,0.007351429,1201.04,8.99,0.0899
25,32,1303,1172700,0.018519758,1106.07,8.98,0.0898
26,33,648,583200,0.029532243,3.02,8.97,0.0897
27,34,634,570600,0.006787258,3.01,8.99,0.0899
28,35,3,2700,0.028069717,1805,8.97,0.0897
29,36,2078,1870200,0.022386042,1404,8.97,0.0897
30,37,1727,1554300,0.015579071,1403,8.98,0.0898
31,38,1525,1372500,0.013708621,1402.01,8.98,0.0898
32,39,1713,1541700,0.022306928,1402.02,8.97,0.0897
33,40,2274,2046600,0.034761066,1401.02,8.96,0.0896
34,41,1939,1745100,0.030811652,1008,8.96,0.0896
35,42,616,554400,0.013884165,1006.01,8.98,0.0898
36,43,955,859500,0.014952846,1005,8.98,0.0898
37,44,697,627300,0.011921051,1004,8.99,0.0899
38,45,546,491400,0.004996054,1003,8.99,0.0899
39,46,2331,2097900,0.019431301,1304.02,8.98,0.0898
40,47,1599,1439100,0.024359413,1303,8.97,0.0897
41,48,1500,1350000,0.018705066,1302,8.98,0.0898
42,49,4745,4270500,0.070817467,1301,8.92,0.0892
43,50,328,295200,0.010828899,1207,8.99,0.0899
44,51,288,259200,0.004455136,1206,8.99,0.0899
45,52,232,208800,0.002610693,1205,9,0.09
46,53,1112,1000800,0.015791922,1204,8.98,0.0898
47,54,1559,1403100,0.050255322,1106.01,8.94,0.0894
48,55,759,683100,0.005016072,1105.02,8.99,0.0899
49,56,721,648900,0.009522036,1105.01,8.99,0.0899
50,57,581,522900,0.024445904,1104.01,8.97,0.0897
51,58,625,562500,0.010566413,1011.02,8.99,0.0899
52,59,420,378000,0.002151092,1011.01,9,0.09
53,60,1296,1166400,0.031034576,1010.02,8.96,0.0896
54,61,1446,1301400,0.020087409,1010.01,8.98,0.0898
55,62,1069,962100,0.025876257,1009,8.97,0.0897
56,63,3,2700,0,3515,9,0.09
57,64,6,5400,0,3521.01,9,0.09
58,66,2,1800,0,3514.03,9,0.09
59,68,3,2700,0,3501.03,9,0.09
60,69,668,601200,0.046839269,9816,8.95,0.0895
61,70,1284,1155600,0.024376034,511.01,8.97,0.0897
62,71,1156,1040400,0.025176225,510,8.97,0.0897
63,72,125,112500,0.002331348,304,9,0.09
64,73,746,671400,0.00540806,303,8.99,0.0899
65,74,6999,6299100,0.046698546,9813,8.95,0.0895
66,75,1034,930600,0.011881513,1101.03,8.99,0.0899
67,76,907,816300,0.038405246,1103.01,8.96,0.0896
68,77,316,284400,0.031499759,1401.06,8.96,0.0896
69,78,225,202500,0.000220009,107.01,9,0.09
70,79,50,45000,0.002896594,104.08,9,0.09
71,80,154,138600,0.000390722,5.03,9,0.09
72,81,74,66600,0.003818639,302,9,0.09
73,82,87,78300,0.005681015,301,8.99,0.0899
74,83,131,117900,0,202,9,0.09
75,84,381,342900,0.001242201,106,9,0.09
76,85,212,190800,0.006324586,105,8.99,0.0899
77,86,570,513000,0.012066469,103,8.99,0.0899
78,87,1087,978300,0.003600255,8.02,9,0.09
79,88,253,227700,0.000677981,7.01,9,0.09
80,89,863,776700,0.127869462,9812.01,8.85,0.0885
81,90,883,794700,0.038645628,9815.01,8.95,0.0895
82,91,349,314100,0.103211925,9817,8.88,0.0888
83,92,753,677700,0.0404742,9818,8.95,0.0895
84,93,387,348300,0.006448229,1002,8.99,0.0899
85,94,314,282600,0.002189052,812,9,0.09
86,95,556,500400,0.023822631,811,8.97,0.0897
87,96,286,257400,0.015182447,809,8.98,0.0898
88,97,404,363600,0.015106462,808.01,8.98,0.0898
89,98,619,557100,0.016182904,806.01,8.98,0.0898
90,99,270,243000,0.027113225,805,8.97,0.0897
91,100,492,442800,0.00880061,804.01,8.99,0.0899
92,101,303,272700,0.006113074,803,8.99,0.0899
93,102,403,362700,0.008653772,711.01,8.99,0.0899
94,103,186,167400,0.000230991,709,9,0.09
95,104,1152,1036800,0.061080793,1001,8.93,0.0893
96,105,658,592200,0.007239009,924,8.99,0.0899
97,106,380,342000,0.002256054,923,9,0.09
98,107,648,583200,0.015654184,922,8.98,0.0898
99,108,543,488700,0.00396527,920,9,0.09
100,109,536,482400,0.006124429,919,8.99,0.0899
101,110,481,432900,0.002532511,918,9,0.09
102,111,321,288900,0.03612213,917,8.96,0.0896
103,112,345,310500,0.00444589,916,8.99,0.0899
104,113,310,279000,0.001628129,501.01,9,0.09
105,114,665,598500,0.004516302,509.01,8.99,0.0899
106,115,447,402300,0.015089327,605.01,8.98,0.0898
107,116,694,624600,0.022548183,1401.07,8.97,0.0897
108,117,1821,1638900,0.042216933,1304.04,8.95,0.0895
109,118,1763,1586700,0.001522551,9812.02,9,0.09
110,119,283,254700,0.012721831,401,8.99,0.0899
111,120,1566,1409400,0.02244978,406,8.97,0.0897
112,121,664,597600,0.013927595,6.02,8.98,0.0898
113,122,555,499500,0.004887649,6.01,8.99,0.0899
114,123,932,838800,0.051827471,5.02,8.94,0.0894
115,124,898,808200,0.038029271,4.02,8.96,0.0896
116,125,1164,1047600,0.047643738,1304.06,8.94,0.0894
117,126,395,355500,0.010267005,1201.03,8.99,0.0899
118,127,1337,1203300,0.055463918,1007,8.94,0.0894
119,128,969,872100,0.029538311,1006.03,8.97,0.0897
120,129,1429,1286100,0.009441155,921.01,8.99,0.0899
121,130,184,165600,0.004458673,611.01,8.99,0.0899
122,131,212,190800,0.00407511,708,9,0.09
123,132,182,163800,0.000393957,707,9,0.09
124,133,145,130500,0,706,9,0.09
125,134,331,297900,0.002937044,705,9,0.09
126,135,376,338400,0.000884303,703,9,0.09
127,136,480,432000,0.004086513,4.01,9,0.09
128,137,667,600300,0.009797943,2.02,8.99,0.0899
129,138,665,598500,0.009417757,2.01,8.99,0.0899
130,139,3019,2717100,0.101630925,9811,8.88,0.0888
131,140,1122,1009800,0.023734496,1401.05,8.97,0.0897
132,141,3243,2918700,0.129106867,9807,8.85,0.0885
133,142,2038,1834200,0.072314558,1201.05,8.92,0.0892
134,143,296,266400,0.001433522,702,9,0.09
135,144,1128,1015200,0.004490523,701.01,8.99,0.0899
136,145,2048,1843200,0.000781918,612,9,0.09
137,146,192,172800,0.010537793,610,8.99,0.0899
138,147,379,341100,0.000149027,608,9,0.09
139,148,141,126900,0.001031193,607,9,0.09
140,149,473,425700,0.020271961,404.01,8.98,0.0898
141,150,485,436500,0.004473021,203.03,8.99,0.0899
142,151,298,268200,0.000504711,704.02,9,0.09
143,152,94,84600,0.019969105,203.02,8.98,0.0898
144,153,273,245700,0.004506818,203.01,8.99,0.0899
145,154,250,225000,0,201.01,9,0.09
146,155,623,560700,0.003147082,810.01,9,0.09
147,156,100,90000,0.000511588,104.03,9,0.09
148,157,1995,1795500,0.030653531,1,8.96,0.0896
149,158,738,664200,0.004366222,1203.01,8.99,0.0899
150,159,445,400500,0.004876145,712.01,8.99,0.0899
151,160,1318,1186200,0.022240564,910.01,8.97,0.0897
152,161,452,406800,0.002392342,915,9,0.09
153,162,360,324000,0.00532748,914,8.99,0.0899
154,163,292,262800,0.000658905,913,9,0.09
155,164,359,323100,0.002438838,912,9,0.09
156,165,467,420300,0.000302617,911,9,0.09
157,166,1186,1067400,0.001408117,907,9,0.09
158,167,333,299700,0.007781226,906,8.99,0.0899
159,168,474,426600,0.006074281,904,8.99,0.0899
160,169,423,380700,0.01615293,903,8.98,0.0898
161,170,304,273600,0.001932368,902,9,0.09
162,171,1140,1026000,0.006280625,801,8.99,0.0899
163,172,297,267300,0.000105054,603.01,9,0.09
164,173,1302,1171800,0.031094166,909.01,8.96,0.0896
165,174,3398,3058200,0.081592251,9801.01,8.91,0.0891
166,175,320,288000,0.001666282,601.01,9,0.09
167,176,503,452700,0.095085693,9815.02,8.89,0.0889
168,177,1369,1232100,0.003373741,606,9,0.09
169,178,446,401400,0.014413966,604,8.98,0.0898
170,179,194,174600,0.004519022,602,8.99,0.0899
171,180,1016,914400,0.014260399,408.01,8.98,0.0898
172,181,407,366300,0.008257645,102.03,8.99,0.0899
173,182,1052,946800,0.020441734,1104.03,8.98,0.0898
174,183,391,351900,0.009789741,1102.01,8.99,0.0899
175,184,1247,1122300,0.128692307,9810,8.85,0.0885
176,185,498,448200,0.002617877,901,9,0.09
177,186,413,371700,0.000916845,821,9,0.09
178,187,437,393300,0.004387698,820,8.99,0.0899
179,188,414,372600,0.017925509,512,8.98,0.0898
180,189,303,272700,0.032913882,507,8.96,0.0896
181,190,190,171000,0.000243309,506,9,0.09
182,191,128,115200,0.001968055,505,9,0.09
183,192,146,131400,0,504,9,0.09
184,193,349,314100,0.009790082,503,8.99,0.0899
185,194,271,243900,0.000183745,502,9,0.09
186,195,312,280800,0.002108828,403,9,0.09
187,196,157,141300,0.00014636,402,9,0.09
188,197,198,178200,0.005846121,305,8.99,0.0899
189,198,481,432900,0.012629928,819,8.99,0.0899
190,199,414,372600,0.004227055,818,9,0.09
191,200,701,630900,0.016194726,817,8.98,0.0898
192,201,375,337500,0.008934255,815,8.99,0.0899
193,202,687,618300,0.010335812,814,8.99,0.0899
194,203,648,583200,0.010587801,813,8.99,0.0899
195,204,8,7200,0.007308845,3736,8.99,0.0899
196,205,2,1800,0.071370699,3735,8.92,0.0892
197,206,2,1800,0,3424,9,0.09
198,207,3,2700,0.030999359,3731,8.96,0.0896
